10.3962|1.02494|-104.009
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|
|267|9.95857|1.019|-104.683|-4.85657|-0.0660208|-7.47142|
|268|9.9537|1.01893|-104.69|-4.89188|-0.0665009|-7.52575|
|269|9.94879|1.01886|-104.698|-4.92731|-0.0669825|-7.58026|
|270|9.94385|1.0188|-104.705|-4.96286|-0.0674657|-7.63494|
|271|9.93886|1.01873|-104.713|-4.99852|-0.0679505|-7.6898|
|272|9.93385|1.01866|-104.721|-5.0343|-0.0684368|-7.74484|
|273|9.9288|1.01859|-104.728|-5.07019|-0.0689247|-7.80005|
|274|9.92371|1.01852|-104.736|-5.10619|-0.0694142|-7.85544|
|275|9.91858|1.01845|-104.744|-5.14231|-0.0699052|-7.91101|
|276|9.91342|1.01838|-104.752|-5.17854|-0.0703977|-7.96675|
|277|9.90823|1.01831|-104.76|-5.21489|-0.0708918|-8.02267|
|278|9.90299|1.01824|-104.768|-5.25135|-0.0713874|-8.07876|
|279|9.89772|1.01817|-104.776|-5.28792|-0.0718846|-8.13502|
|280|9.89242|1.0181|-104.784|-5.32461|-0.0723833|-8.19146|
|281|9.88707|1.01802|-104.793|-5.36141|-0.0728836|-8.24807|
|282|9.88169|1.01795|-104.801|-5.39832|-0.0733854|-8.30486|
|283|9.87628|1.01788|-104.809|-5.43534|-0.0738887|-8.36182|
|284|9.87082|1.0178|-104.818|-5.47248|-0.0743936|-8.41895|
|285|9.86533|1.01773|-104.826|-5.50973|-0.0748999|-8.47626|
|286|9.8598|1.01765|-104.834|-5.54709|-0.0754078|-8.53373|
|287|9.85424|1.01758|-104.843|-5.58457|-0.0759173|-8.59138|
|288|9.84864|1.0175|-104.852|-5.62215|-0.0764282|-8.64921|
|289|9.84299|1.01742|-104.86|-5.65985|-0.0769407|-8.7072|
|290|9.83732|1.01735|-104.869|-5.69766|-0.0774546|-8.76536|
|291|9.8316|1.01727|-104.878|-5.73558|-0.0779701|-8.8237|
|292|9.82584|1.01719|-104.887|-5.77361|-0.0784871|-8.88221|
|293|9.82005|1.01711|-104.896|-5.81175|-0.0790056|-8.94088|
|294|9.81422|1.01703|-104.905|-5.85|-0.0795256|-8.99973|
|295|9.80835|1.01695|-104.914|-5.88836|-0.0800471|-9.05875|
|296|9.80244|1.01687|-104.923|-5.92683|-0.0805701|-9.11793|
|297|9.7965|1.01679|-104.932|-5.96541|-0.0810946|-9.17729|
|298|9.79051|1.01671|-104.941|-6.00411|-0.0816205|-9.23681|
|299|9.78449|1.01663|-104.95|-6.04291|-0.082148|-9.2965|
|300|9.77843|1.01655|-104.96|-6.08182|-0.082677|-9.35636|
|301|9.77233|1.01646|-104.969|-6.12084|-0.0832074|-9.41639|
|302|9.76619|1.01638|-104.979|-6.15997|-0.0837393|-9.47659|
|303|9.76001|1.0163|-104.988|-6.1992|-0.0842727|-9.53695|
|304|9.75379|1.01621|-104.998|-6.23855|-0.0848076|-9.59748|
|305|9.74753|1.01613|-105.007|-6.278|-0.0853439|-9.65818|
|306|9.74123|1.01604|-105.017|-6.31757|-0.0858818|-9.71904|
|307|9.73489|1.01596|-105.027|-6.35724|-0.086421|-9.78007|
|308|9.72852|1.01587|-105.036|-6.39701|-0.0869618|-9.84127|
|309|9.7221|1.01578|-105.046|-6.4369|-0.087504|-9.90263|
|310|9.71564|1.01569|-105.056|-6.47689|-0.0880477|-9.96416|
