9.79744 0.788221 -99.1857
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|163|9.77744|0.78801|-99.218|-1.83806|-0.0193696|-2.96887|-47630.8|-96632.7|-15396.4|10032.4|23438.2|1343.56|
|164|9.77707|0.788006|-99.2186|-1.86059|-0.019607|-3.00526|-47628.7|-96627.9|-15396.1|10155.3|23724.7|1360.08|
|165|9.77669|0.788002|-99.2192|-1.88326|-0.0198459|-3.04188|-47626.7|-96623.2|-15395.8|10278.8|24012.9|1376.7|
|166|9.77632|0.787998|-99.2198|-1.90606|-0.0200862|-3.07871|-47624.6|-96618.3|-15395.6|10403.1|24302.7|1393.42|
|167|9.77593|0.787994|-99.2204|-1.929|-0.020328|-3.11576|-47622.5|-96613.4|-15395.3|10528.2|24594.3|1410.24|
|168|9.77554|0.78799|-99.221|-1.95208|-0.0205711|-3.15303|-47620.4|-96608.5|-15395|10653.9|24887.5|1427.17|
|169|9.77515|0.787986|-99.2217|-1.97529|-0.0208157|-3.19052|-47618.3|-96603.5|-15394.7|10780.4|25182.5|1444.19|
|170|9.77475|0.787982|-99.2223|-1.99863|-0.0210618|-3.22823|-47616.1|-96598.4|-15394.4|10907.7|25479.1|1461.31|
|171|9.77435|0.787978|-99.223|-2.02212|-0.0213092|-3.26616|-47613.9|-96593.3|-15394.1|11035.6|25777.5|1478.54|
|172|9.77394|0.787974|-99.2236|-2.04573|-0.0215581|-3.30431|-47611.7|-96588.1|-15393.8|11164.3|26077.5|1495.87|
|173|9.77353|0.787969|-99.2243|-2.06948|-0.0218084|-3.34267|-47609.5|-96582.9|-15393.5|11293.8|26379.2|1513.29|
|174|9.77312|0.787965|-99.225|-2.09337|-0.0220601|-3.38126|-47607.2|-96577.6|-15393.2|11423.9|26682.6|1530.82|
|175|9.7727|0.78796|-99.2256|-2.11739|-0.0223133|-3.42006|-47604.9|-96572.2|-15392.9|11554.8|26987.7|1548.45|
|176|9.77227|0.787956|-99.2263|-2.14155|-0.0225678|-3.45908|-47602.6|-96566.8|-15392.6|11686.4|27294.5|1566.18|
