-65 0.000164428 -220
|Index|TCPP|TCVP|
|473|0.00591923|0.252613|
|474|0.00596991|0.254228|
|475|0.00602092|0.25585|
|476|0.00607225|0.257478|
|477|0.00612391|0.259113|
|478|0.0061759|0.260755|
|479|0.00622821|0.262404|
|480|0.00628086|0.26406|
|481|0.00633384|0.265723|
|482|0.00638715|0.267392|
|483|0.0064408|0.269069|
|484|0.00649478|0.270752|
|485|0.0065491|0.272442|
|486|0.00660375|0.27414|
|487|0.00665875|0.275844|
|488|0.00671409|0.277555|
|489|0.00676978|0.279273|
|490|0.0068258|0.280998|
|491|0.00688218|0.28273|
|492|0.0069389|0.284469|
|493|0.00699596|0.286216|
|494|0.00705338|0.287969|
|495|0.00711115|0.289729|
|496|0.00716927|0.291496|
|497|0.00722775|0.293271|
|498|0.00728658|0.295053|
|499|0.00734577|0.296841|
|500|0.00740532|0.298637|
|501|0.00746523|0.30044|
|502|0.0075255|0.30225|
|503|0.00758613|0.304067|
|504|0.00764712|0.305892|
|505|0.00770848|0.307723|
|506|0.00777021|0.309562|
|507|0.00783231|0.311408|
|508|0.00789478|0.313262|
|509|0.00795762|0.315122|
|510|0.00802083|0.31699|
|511|0.00808441|0.318865|
|512|0.00814837|0.320747|
|513|0.00821271|0.322637|
|514|0.00827743|0.324534|
|515|0.00834253|0.326438|
|516|0.008408|0.32835|
|517|0.00847387|0.330269|
|518|0.00854011|0.332196|
|519|0.00860674|0.334129|
|520|0.00867376|0.33607|
|521|0.00874117|0.338019|
|522|0.00880897|0.339975|
|523|0.00887716|0.341938|
|524|0.00894575|0.343909|
|525|0.00901473|0.345888|
|526|0.0090841|0.347873|
|527|0.00915388|0.349867|
|528|0.00922405|0.351867|
|529|0.00929463|0.353876|
|530|0.0093656|0.355892|
|531|0.00943698|0.357915|
|532|0.00950877|0.359946|
|533|0.00958096|0.361984|
|534|0.00965356|0.36403|
|535|0.00972657|0.366084|
|536|0.0098|0.368145|
|537|0.00987383|0.370214|
|538|0.00994808|0.37229|
|539|0.0100227|0.374375|
|540|0.0100978|0.376466|
|541|0.0101733|0.378566|
|542|0.0102493|0.380673|
|543|0.0103256|0.382788|
|544|0.0104024|0.38491|
|545|0.0104796|0.387041|
|546|0.0105572|0.389179|
|547|0.0106352|0.391324|
|548|0.0107137|0.393478|
|549|0.0107926|0.395639|
|550|0.010872|0.397808|
|551|0.0109518|0.399985|
|552|0.011032|0.40217|
|553|0.0111126|0.404362|
|554|0.0111937|0.406562|
|555|0.0112753|0.40877|
|556|0.0113572|0.410987|
|557|0.0114396|0.41321|
|558|0.0115225|0.415442|
|559|0.0116058|0.417682|
|560|0.0116896|0.41993|
|561|0.0117738|0.422185|
|562|0.0118585|0.424449|
|563|0.0119436|0.42672|
|564|0.0120291|0.428999|
|565|0.0121152|0.431287|
|566|0.0122017|0.433582|
|567|0.0122886|0.435885|
|568|0.012376|0.438197|
|569|0.0124639|0.440516|
|570|0.0125522|0.442844|
|571|0.012641|0.445179|
|572|0.0127303|0.447523|
|573|0.01282|0.449874|
|574|0.0129102|0.452234|
|575|0.0130009|0.454602|
|576|0.0130921|0.456978|
|577|0.0131837|0.459362|
|578|0.0132758|0.461754|
|579|0.0133684|0.464155|
|580|0.0134615|0.466563|
|581|0.0135551|0.46898|
|582|0.0136491|0.471405|
|583|0.0137436|0.473838|
|584|0.0138386|0.47628|
|585|0.0139341|0.478729|
|586|0.0140301|0.481187|
|587|0.0141266|0.483653|
|588|0.0142236|0.486128|
|589|0.0143211|0.488611|
|590|0.014419|0.491102|
|591|0.0145175|0.493601|
|592|0.0146165|0.496108|
|593|0.0147159|0.498624|
|594|0.0148159|0.501149|
|595|0.0149164|0.503681|
|596|0.0150174|0.506222|
|597|0.0151189|0.508772|
|598|0.0152209|0.51133|
|599|0.0153234|0.513896|
|600|0.0154265|0.516471|
|601|0.01553|0.519054|
|602|0.0156341|0.521645|
|603|0.0157387|0.524245|
|604|0.0158438|0.526854|
|605|0.0159494|0.529471|
|606|0.0160556|0.532096|
|607|0.0161622|0.53473|
|608|0.0162695|0.537373|
|609|0.0163772|0.540024|
|610|0.0164855|0.542683|
|611|0.0165943|0.545351|
|612|0.0167036|0.548028|
|613|0.0168135|0.550713|
|614|0.0169239|0.553407|
|615|0.0170348|0.55611|
|616|0.0171463|0.558821|
|617|0.0172584|0.561541|
|618|0.017371|0.564269|
|619|0.0174841|0.567006|
|620|0.0175978|0.569752|
|621|0.017712|0.572506|
|622|0.0178268|0.575269|
|623|0.0179421|0.578041|
|624|0.018058|0.580822|
|625|0.0181744|0.583611|
|626|0.0182914|0.586409|
|627|0.018409|0.589216|
|628|0.0185271|0.592032|
|629|0.0186458|0.594856|
|630|0.0187651|0.597689|
|631|0.0188849|0.600531|
|632|0.0190053|0.603382|
|633|0.0191262|0.606241|
|634|0.0192478|0.60911|
|635|0.0193699|0.611987|
|636|0.0194926|0.614873|
|637|0.0196158|0.617769|
|638|0.0197397|0.620672|
|639|0.0198641|0.623585|
|640|0.0199891|0.626507|
|641|0.0201147|0.629438|
|642|0.0202409|0.632378|
|643|0.0203677|0.635326|
|644|0.020495|0.638284|
|645|0.020623|0.64125|
|646|0.0207515|0.644226|
|647|0.0208807|0.647211|
|648|0.0210104|0.650204|
|649|0.0211407|0.653207|
|650|0.0212717|0.656218|
|651|0.0214032|0.659239|
|652|0.0215354|0.662269|
|653|0.0216681|0.665308|
|654|0.0218015|0.668356|
|655|0.0219355|0.671413|
