-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|217|176085|89262.3|249628|155131|105179|190253|
|218|177632|90317|251520|154151|105738|188144|
|219|179168|91376.6|253390|153089|106171|185993|
|220|180693|92440|255239|151944|106475|183800|
|221|182207|93505.7|257066|150714|106650|181563|
|222|183707|94572.5|258871|149397|106694|179279|
|223|185194|95639.2|260652|147994|106607|176948|
|224|186667|96704.2|262409|146502|106385|174567|
|225|188124|97766.4|264143|144920|106029|172135|
|226|189565|98824.4|265852|143247|105538|169649|
|227|190989|99876.7|267536|141482|104910|167108|
|228|192394|100922|269194|139624|104144|164509|
|229|193781|101959|270826|137670|103239|161850|
|230|195147|102986|272431|135621|102195|159130|
|231|196493|104003|274008|133474|101011|156345|
|232|197817|105006|275557|131228|99686.2|153493|
|233|199117|105996|277078|128883|98219.7|150572|
|234|200394|106970|278569|126436|96611.2|147580|
|235|201646|107928|280029|123886|94860.4|144514|
|236|202871|108867|281459|121233|92966.8|141370|
|237|204070|109786|282856|118474|90930.3|138148|
|238|205241|110685|284221|115649|88790|134883|
|239|206383|111562|285554|112830|86621.5|131650|
|240|207497|112417|286854|110022|84430.4|128447|
|241|208583|113251|288123|107223|82220.8|125273|
|242|209642|114062|289360|104435|79996.3|122125|
|243|210672|114851|290566|101657|77760.6|119001|
|244|211675|115617|291740|98891.4|75517|115900|
|245|212650|116361|292884|96137.2|73269|112821|
|246|213598|117082|293997|93395.3|71019.8|109760|
|247|214518|117781|295079|90666.3|68772.5|106717|
|248|215411|118458|296131|87950.5|66530.1|103691|
|249|216277|119112|297153|85248.6|64295.6|100680|
|250|217116|119744|298145|82561|62071.9|97683.8|
|251|217928|120353|299107|79888.5|59861.7|94700.5|
|252|218714|120941|300039|77231.5|57667.7|91729.5|
|253|219473|121507|300941|74590.7|55492.7|88770|
|254|220206|122051|301814|71966.9|53339.1|85821.5|
|255|220912|122574|302658|69360.6|51209.6|82883.4|
|256|221593|123075|303472|66772.6|49106.6|79955.2|
|257|222248|123556|304257|64203.7|47032.5|77036.6|
|258|222877|124016|305013|61654.8|44989.7|74127.4|
|259|223481|124456|305739|59126.5|42980.5|71227.6|
|260|224060|124876|306437|56619.9|41007.2|68337|
|261|224613|125276|307106|54135.7|39072.1|65455.8|
|262|225143|125657|307746|51675|37177.3|62584.1|
|263|225647|126020|308358|49238.7|35325.1|59722.2|
|264|226127|126364|308941|46827.7|33517.4|56870.5|
|265|226584|126690|309495|44443.1|31756.4|54029.3|
|266|227016|126999|310021|42085.9|30044.1|51199.3|
|267|227426|127291|310519|39757.2|28382.5|48381|
|268|227812|127567|310989|37458|26773.5|45575.1|
|269|228175|127827|311431|35197|25212.1|42799.6|
|270|228516|128071|311845|32994.4|23683.3|40099.5|
|271|228835|128301|312233|30853|22188.6|37478.2|
|272|229133|128515|312595|28774.4|20730.3|34937.3|
|273|229411|128715|312932|26760.1|19310.6|32478|
|274|229668|128902|313245|24811.6|17931.4|30101.8|
|275|229907|129074|313534|22930.3|16594.7|27809.7|
|276|230127|129234|313801|21117.4|15302|25603|
|277|230330|129380|314047|19374.1|14054.9|23482.8|
|278|230515|129515|314271|17701.4|12854.9|21449.9|
|279|230684|129638|314476|16100.4|11703.3|19505.3|
|280|230837|129749|314662|14571.9|10601.3|17649.9|
|281|230976|129850|314829|13116.7|9550.01|15884.4|
|282|231100|129940|314980|11735.6|8550.34|14209.6|
|283|231211|130021|315114|10429.3|7603.21|12626|
|284|231309|130093|315233|9198.25|6709.38|11134.3|
|285|231395|130155|315337|8043.1|5869.57|9734.93|
|286|231470|130210|315428|6964.28|5084.36|8428.37|
