|Index|pVelocitySplineBuffer|pPositionSplineBuffer
|887|83.4634|25.8056
|888|83.571|25.8892
|889|83.6782|25.9728
|890|83.7851|26.0565
|891|83.8917|26.1404
|892|83.9979|26.2243
|893|84.1037|26.3083
|894|84.2092|26.3925
|895|84.3143|26.4768
|896|84.4191|26.5611
|897|84.5235|26.6456
|898|84.6275|26.7302
|899|84.7312|26.8149
|900|84.8345|26.8996
|901|84.9375|26.9845
|902|85.0401|27.0695
|903|85.1423|27.1546
|904|85.2442|27.2398
|905|85.3457|27.3251
|906|85.4468|27.4105
|907|85.5476|27.496
|908|85.648|27.5816
|909|85.748|27.6673
|910|85.8477|27.7531
|911|85.947|27.839
|912|86.0459|27.925
|913|86.1445|28.0111
|914|86.2427|28.0973
|915|86.3405|28.1836
|916|86.438|28.2699
|917|86.5351|28.3564
|918|86.6318|28.443
|919|86.7281|28.5297
|920|86.8241|28.6165
|921|86.9197|28.7033
|922|87.0149|28.7903
|923|87.1097|28.8774
|924|87.2042|28.9645
|925|87.2983|29.0518
|926|87.392|29.1391
|927|87.4854|29.2266
|928|87.5783|29.3141
|929|87.6709|29.4017
|930|87.7632|29.4894
|931|87.855|29.5772
|932|87.9465|29.6651
|933|88.0376|29.7531
|934|88.1283|29.8412
|935|88.2186|29.9294
|936|88.3086|30.0177
|937|88.3981|30.106
|938|88.4873|30.1945
|939|88.5762|30.283
|940|88.6646|30.3716
|941|88.7527|30.4603
|942|88.8403|30.5491
|943|88.9277|30.638
|944|89.0146|30.727
|945|89.1011|30.816
|946|89.1873|30.9052
|947|89.2731|30.9944
|948|89.3585|31.0837
|949|89.4435|31.1731
|950|89.5281|31.2626
|951|89.6124|31.3522
|952|89.6962|31.4418
|953|89.7797|31.5316
|954|89.8628|31.6214
|955|89.9456|31.7113
|956|90.0279|31.8013
|957|90.1099|31.8913
|958|90.1915|31.9815
|959|90.2727|32.0717
|960|90.3535|32.162
|961|90.4339|32.2524
|962|90.514|32.3429
|963|90.5936|32.4335
|964|90.6729|32.5241
|965|90.7518|32.6148
|966|90.8303|32.7056
|967|90.9085|32.7965
|968|90.9862|32.8874
|969|91.0636|32.9784
|970|91.1406|33.0695
|971|91.2172|33.1607
|972|91.2934|33.252
|973|91.3692|33.3433
|974|91.4447|33.4347
|975|91.5198|33.5262
|976|91.5945|33.6178
|977|91.6688|33.7094
|978|91.7427|33.8011
|979|91.8163|33.8929
|980|91.8894|33.9847
|981|91.9622|34.0767
|982|92.0346|34.1687
|983|92.1066|34.2607
|984|92.1783|34.3529
|985|92.2495|34.4451
|986|92.3204|34.5374
|987|92.3909|34.6297
|988|92.461|34.7221
|989|92.5307|34.8146
|990|92.6001|34.9072
|991|92.669|34.9998
|992|92.7376|35.0925
|993|92.8058|35.1853
|994|92.8737|35.2782
|995|92.9411|35.3711
|996|93.0082|35.464
|997|93.0749|35.5571
|998|93.1412|35.6502
|999|93.2071|35.7434
|1000|93.2727|35.8366
|1001|93.3379|35.9299
|1002|93.4027|36.0233
|1003|93.4671|36.1167
|1004|93.5312|36.2102
|1005|93.5948|36.3038
|1006|93.6581|36.3974
|1007|93.7211|36.4911
|1008|93.7836|36.5848
|1009|93.8458|36.6787
|1010|93.9076|36.7725
|1011|93.969|36.8665
|1012|94.03|36.9605
|1013|94.0907|37.0545
|1014|94.151|37.1487
|1015|94.211|37.2428
|1016|94.2705|37.3371
|1017|94.3297|37.4314
|1018|94.3885|37.5257
|1019|94.447|37.6202
|1020|94.505|37.7146
|1021|94.5627|37.8092
|1022|94.6201|37.9038
|1023|94.677|37.9984
|1024|94.7336|38.0931
|1025|94.7899|38.1879
|1026|94.8457|38.2827
|1027|94.9012|38.3776
|1028|94.9564|38.4725
|1029|95.0111|38.5675
|1030|95.0655|38.6625
|1031|95.1196|38.7576
|1032|95.1732|38.8528
|1033|95.2265|38.948
|1034|95.2795|39.0432
|1035|95.3321|39.1385
|1036|95.3843|39.2339
|1037|95.4361|39.3293
|1038|95.4876|39.4247
|1039|95.5388|39.5203
|1040|95.5896|39.6158
|1041|95.64|39.7114
|1042|95.69|39.8071
|1043|95.7398|39.9028
|1044|95.7891|39.9986
|1045|95.8381|40.0944
|1046|95.8867|40.1903
|1047|95.935|40.2862
